Data ID,Classification,Confidence Score,Detailed Justification
D7583,Malicious,0.85,Email contains invoice verification request type indicating business email compromise attempt. Financial verification requests are commonly used to manipulate payment authorization processes and redirect funds to attacker-controlled accounts requiring immediate blocking.
D7584,Malicious,0.95,Email exhibits reply path known malicious flag with total components detected malicious (1) and high AMSI suspicion score (0.68). Confirmed malicious infrastructure combined with malicious components detected represents active threat requiring immediate blocking and security investigation.
D7585,Warning,0.75,Email contains YARA rule match (1) with moderate AMSI suspicion score (0.44) and embedded files (3) suggesting potential suspicious content. Authentication failures combined with behavioral indicators require security attention and user caution before processing attachments.
D7586,Malicious,0.85,Email contains wire transfer request with final URL known malicious flag. Financial transfer requests directing to confirmed malicious URLs represent clear business email compromise attempt requiring immediate blocking and investigation.
D7587,Malicious,0.90,Email exhibits reply path known malicious flag with SSL certificate mismatch confirming threat actor infrastructure. Confirmed malicious reply path represents active threat requiring immediate blocking and security investigation.
D7588,No Action,0.80,Email exhibits moderate domain reputation issues but shows minimal threat indicators with no specific request types detected. Despite some authentication inconsistencies the absence of suspicious content patterns suggests normal business communication requiring no security intervention.
D7589,Malicious,0.85,Email contains DNS morphing detected flag indicating domain spoofing attack. DNS morphing represents confirmed malicious technique used in phishing campaigns requiring immediate blocking to prevent user deception.
D7590,Malicious,0.90,Email exhibits gift card request with sender spoof detection flag and moderate content spam score (0.15). Social engineering request type combined with confirmed sender spoofing represents clear phishing attempt requiring immediate blocking.
D7591,Malicious,0.90,Email contains wire transfer request with high behavioral sandbox score (0.67) significant exfiltration behavior (0.67) and final URL known malicious flag. Financial transfer request with confirmed malicious infrastructure and suspicious behavioral patterns represents clear business email compromise requiring immediate blocking.
D7592,Malicious,0.85,Email exhibits document download request with VBScript/JavaScript detection high exfiltration behavior score (0.87) and self-signed SSL certificate. Malicious script content combined with data exfiltration capability represents active malware delivery requiring immediate blocking.
D7593,No Action,0.80,Email shows moderate domain reputation concerns but exhibits minimal threat indicators with no specific request types detected. Despite self-signed SSL certificate the absence of suspicious behavioral patterns suggests normal communication requiring no security intervention.
D7594,Malicious,0.80,Email contains sensitive data request type with self-signed SSL certificate and moderate behavioral scores. Sensitive information harvesting requests represent clear data theft attempt requiring immediate blocking to prevent unauthorized disclosure.
D7595,Warning,0.75,Email contains meeting request with high exfiltration behavior score (0.92) moderate behavioral sandbox score (0.04) and URL redirect chain detection. Suspicious behavioral indicators combined with meeting requests suggest potential social engineering requiring security attention.
D7596,Warning,0.80,Email exhibits high exfiltration behavior score (0.72) with moderate behavioral sandbox scores and significant metadata suspicious indicators. Potential data exfiltration capability combined with suspicious analysis results requires security attention and monitoring.
D7597,No Action,0.85,Email shows minimal threat indicators with very low behavioral scores and no specific request types detected. Despite some reputation concerns the absence of suspicious content patterns or high-risk indicators suggests normal correspondence requiring no security action.
D7598,Malicious,0.85,Email contains legal threat request with high metadata suspicious score (0.76) significant behavioral sandbox scores (0.06) and exfiltration behavior (0.73). Intimidation tactics combined with suspicious behavioral analysis represents social engineering attack requiring immediate blocking.
D7599,Malicious,0.80,Email exhibits link click request with high exfiltration behavior score (0.87) moderate metadata suspicious score (0.17) and self-signed SSL certificate. Social engineering request combined with data exfiltration capability represents phishing attempt requiring immediate blocking.
D7600,Malicious,0.90,Email contains bank detail update request with high sender temp email likelihood (0.52) and expired SSL certificate. Financial modification requests from disposable email sources represent clear business email compromise attempt requiring immediate blocking.
D7601,Malicious,0.85,Email exhibits VPN/MFA reset request with high domain reputation concerns (0.98) and expired SSL certificate. Credential harvesting attempts represent clear security threat requiring immediate blocking to prevent unauthorized access.
D7602,Malicious,0.85,Email contains wire transfer request with high exfiltration behavior score (0.81) significant behavioral scores and marketing keywords detected. Financial transfer request with data exfiltration capability represents business email compromise requiring immediate blocking.
D7603,Malicious,0.90,Email exhibits document download request with high metadata suspicious score (0.89) significant behavioral sandbox score (0.28) and URL count (3). Malicious document delivery with suspicious behavioral analysis represents active malware distribution requiring immediate blocking.
D7604,No Action,0.75,Email shows minimal threat indicators despite self-signed SSL certificate with no specific request types detected. Absence of suspicious behavioral patterns or high-risk content suggests normal communication requiring monitoring but no immediate action.
D7605,Malicious,0.85,Email contains sensitive data request with high content spam score (0.88) SSL certificate mismatch and authentication failures. Sensitive information harvesting with spam characteristics represents data theft attempt requiring immediate blocking.
D7606,Malicious,0.90,Email exhibits meeting request with sender spoof detected flag and high metadata suspicious score (0.80). Confirmed sender spoofing represents malicious impersonation requiring immediate blocking to prevent social engineering attacks.
D7607,Warning,0.80,Email shows high exfiltration behavior score (0.98) with moderate behavioral sandbox scores and minimal authentication issues. Significant data exfiltration capability combined with behavioral indicators requires security attention and monitoring.
D7608,Warning,0.70,Email exhibits moderate domain reputation issues with self-signed SSL certificate and authentication failures. Multiple security concerns suggest potential suspicious activity requiring security attention despite minimal behavioral scores.
D7609,Warning,0.75,Email contains legal threat request with YARA rule matches (2) high exfiltration behavior score (0.99) and moderate domain reputation concerns. Intimidation tactics combined with suspicious indicators require security attention and user verification.
D7610,Warning,0.80,Email exhibits link click request with moderate behavioral sandbox scores (0.11) and exfiltration behavior. Social engineering request type combined with behavioral analysis concerns requires user verification before link access.
D7611,Malicious,0.95,Email contains bank detail update request with reply path known malicious flag SMTP IP known malicious flag and multiple authentication failures. Financial modification request from confirmed malicious infrastructure represents clear business email compromise requiring immediate blocking.
D7612,Malicious,0.80,Email exhibits VPN/MFA reset request with reply path known malicious flag self-signed SSL certificate and moderate behavioral scores. Credential harvesting attempt from confirmed malicious infrastructure requires immediate blocking to prevent unauthorized access.
D7613,Malicious,0.85,Email contains wire transfer request with high metadata suspicious score (0.56) high sender temp email likelihood (0.42) and significant behavioral indicators. Financial transfer request with suspicious metadata represents business email compromise requiring immediate blocking.
D7614,Warning,0.75,Email exhibits document download request with high metadata suspicious score (0.41) and link rewritten through redirector flag. File download request with suspicious metadata and link obfuscation requires security verification before file access.
D7615,No Action,0.75,Email shows moderate domain reputation concerns with high sender temp email likelihood but minimal threat indicators. Despite SSL certificate mismatch the absence of specific request types suggests legitimate correspondence requiring no immediate action.
D7616,Malicious,0.80,Email contains sensitive data request with self-signed SSL certificate and moderate behavioral scores. Sensitive information harvesting requests represent clear data theft attempt requiring immediate blocking to prevent unauthorized disclosure.
D7617,Warning,0.80,Email exhibits meeting request with high metadata suspicious score (0.83) high sender temp email likelihood (0.42) and exfiltration behavior (0.73). Social engineering attempt with suspicious analysis results requires verification before accepting meeting invitations.
D7618,Warning,0.80,Email shows network call on open detection with high exfiltration behavior score (0.96) moderate AMSI suspicion score (0.55) and self-signed SSL certificate. Automatic network connections with data exfiltration capability require security attention.
D7619,No Action,0.80,Email exhibits minimal threat indicators with expired SSL certificate but no specific request types detected. Despite authentication failures the absence of suspicious behavioral patterns suggests normal communication requiring no security intervention.
D7620,Warning,0.85,Email contains legal threat request with high domain reputation concerns (0.94) high sender temp email likelihood (0.66) and URL redirect chain detection. Intimidation tactics with reputation issues and link obfuscation require security attention and user verification.
D7621,Warning,0.80,Email exhibits link click request with YARA rule matches (4) VBScript/JavaScript detection and high behavioral sandbox scores. Social engineering request with malicious script content requires security verification before link access.
D7622,Malicious,0.85,Email contains bank detail update request with DMARC enforcement revoked SSL certificate and high domain reputation concerns. Financial modification request with certificate validity issues represents business email compromise requiring immediate blocking.
D7623,Malicious,0.85,Email exhibits VPN/MFA reset request with high behavioral sandbox score (0.39) significant AMSI suspicion score (0.38) and exfiltration behavior (0.97). Credential harvesting with suspicious behavioral analysis represents attack requiring immediate blocking.
D7624,Malicious,0.80,Email contains wire transfer request with high exfiltration behavior score (0.92) moderate behavioral sandbox scores and AMSI suspicion indicators. Financial transfer request with data exfiltration capability represents business email compromise requiring immediate blocking.
D7625,Warning,0.80,Email exhibits document download request with high behavioral sandbox score (0.80) moderate AMSI suspicion score (0.20) and sender temp email likelihood (0.55). File download request with suspicious behavioral patterns requires security verification.
D7626,No Action,0.75,Email shows moderate domain reputation concerns with high sender temp email likelihood but minimal threat indicators. Despite expired SSL certificate the absence of specific request types suggests legitimate correspondence requiring monitoring but no immediate action.
D7627,Malicious,0.90,Email contains sensitive data request with reply path known malicious flag confirming threat actor infrastructure. Sensitive information harvesting from confirmed malicious infrastructure represents data theft attempt requiring immediate blocking.
D7628,Warning,0.75,Email exhibits meeting request with high exfiltration behavior score (0.77) and multiple links (4). Social engineering attempt with data exfiltration capability requires verification before accepting meeting invitations or clicking links.
D7629,Warning,0.80,Email shows high behavioral sandbox score (0.39) significant exfiltration behavior score (0.77) and very high URL reputation score (0.80). Suspicious behavioral indicators combined with reputation concerns require security attention and monitoring.
D7630,Malicious,0.95,Email exhibits sender known malicious flag with high domain reputation score (0.95) and DMARC enforcement. Confirmed malicious sender infrastructure represents active threat requiring immediate blocking and security investigation.
D7631,Warning,0.75,Email contains legal threat request with moderate behavioral sandbox scores and self-signed SSL certificate. Intimidation tactics combined with certificate validity concerns require user verification before response to prevent social engineering.
D7632,Malicious,0.90,Email exhibits link click request with return path known malicious flag and high behavioral sandbox score (0.64). Social engineering request from confirmed malicious infrastructure represents phishing attempt requiring immediate blocking.
