Data ,sender_known_malicios,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_Count,has_executable_attachment,unscannable_attachment_present,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_Score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_Count,dna_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing-keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,total_components_detected_malicious
D7783,0,0.0011461279897762,0,6.03426864114377e-08,0,0,0,2.852015251377704e-05,3,0,0,0,0,0.0012898006568025,7.344951122246744e-06,0,0,0,0,0.8407085606325924,0,0,6,1.6248633949457765e-22,"[""""]",0,0,3.00435349924687e-12,0,0,0.0010307399612693,0,2.8070918833246534e-06,0.0033917417876343,1.156109136879121e-07,0,0,0,1.0,0,0.0001299728301528,0.1995912,none,1.3909263723290986e-05,0,0,0,0,0.0,0,fail,fail,pass,1,TLS 1.2,2,0,0,0,0,0.0282854929747095,valid,0.1615204355572881,0.0160972294184766,0,1,0
D7784,0,0.0708510828240419,0,0.1155306313787467,1,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,1.881676898413664e-05,0,0,0.0235170341015349,0,0.0002111931364085,1.2872711534794255e-06,0.0041544647730363,0,0,0,1.0,0,0.6412083542395838,0.9638866,none,1.1043000520917375e-09,0,1,0,0,0.0,0,pass,none,none,1,TLS 1.1,0,0,0,0,0,5.730141284574432e-08,mismatch,3.608734384435409e-09,1.3756163251360128e-05,0,1,0
D7785,0,6.56457728508004e-08,0,0.6841559601411267,0,0,0,0.7285514674819036,0,0,0,0,0,2.4605849579534747e-05,0.0026680979661425,0,0,0,0,0.759459908110518,0,1,4,2.49362450272793e-28,"[""""]",0,0,1.902554337627044e-33,0,0,0.4239418348191928,0,0.5767220651073443,0.0134072593342871,0.0172144202203485,0,0,0,0.0,0,1.2763105357239882e-06,0.8882747,legal_threat,8.948274810184989e-05,0,0,0,0,0.0,0,fail,policy,fail,1,SSL,0,0,0,0,0,0.5059981407619095,valid,0.0738840707517618,0.0130981910412914,0,1,0
D7786,0,5.281323013130094e-05,0,0.0033574081650957,0,0,0,0.1016443899065663,0,0,0,1,0,0.0547239638262444,0.0358936801557189,0,0,0,0,0.9802838428203028,0,0,4,60.34313419212668,"[""""]",0,0,0.4917490241021101,0,0,0.0646943511949938,0,1.4593031795283116e-05,0.0001119836669967,0.1674632242234603,0,0,0,0.5,0,0.0321256577393977,0.679687,link_click,0.3690393795841261,0,0,0,0,0.0,0,softfail,policy,none,1,TLS 1.1,0,0,0,0,0,7.176354516708812e-05,valid,0.0715812719214587,0.0009473643926263,0,1,0
D7787,0,0.003697007661441,0,2.49390837897499e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.9529369044789888,0,0,0.2741573909264541,0,8.826373831039566e-06,0.003448876946944,8.070660486747405e-08,0,0,0,1.0,0,6.0837651922664e-17,0.2542183,bank_detail_update,0.8121977656598045,0,0,0,0,0.0,0,pass,fail,pass,1,TLS 1.2,0,1,0,0,0,0.0001447354060851,valid,0.5049339119802929,0.9836122076464612,0,1,0
D7788,0,0.2023183443267565,0,1.930336272346979e-07,0,0,0,0.2129172549924283,0,0,0,0,0,0.002509156956572,0.016995252683988,0,0,0,0,0.5991842355902853,0,1,5,6.2964807849186184e-18,"[""""]",0,0,0.1353236253043333,0,0,0.5749594077393616,0,3.056053227100701e-05,0.0040910865162545,1.6895834762402136e-05,0,0,0,0.5,0,2.957629646968682e-07,0.8982228,vpn_or_mfa_reset,0.0012694042069525,0,0,0,0,0.0,0,fail,fail,pass,1,TLS 1.3,1,0,0,0,0,0.2812571159796066,valid,4.664513046659583e-11,1.5425657284179587e-06,0,1,0
D7789,0,0.0001934530194995,0,1.0043975687953976e-07,0,0,0,0.0925041829302227,0,0,0,0,0,0.0007023560276428,0.0020324179095957,0,0,0,0,0.9000127720309997,0,0,4,4.828077969875074e-39,"[""""]",0,0,0.0017046094189314,0,0,7.625059789351641e-13,0,0.3748825050047811,0.9492415823537498,0.0062926128745773,0,0,0,0.0,0,0.0005622721480268,0.187475,wire_transfer,0.0115923927494376,0,0,0,0,0.0,0,pass,pass,pass,1,TLS 1.3,0,0,0,0,0,1.406837611662907e-09,valid,0.7587881974030017,0.0661170515819685,0,1,0
D7790,0,0.072178572234576,0,0.0001863246949566,0,0,0,0.0430976466734431,0,0,0,0,0,0.4930142731906765,0.4862497078850662,0,0,0,0,0.40427649683755,0,1,4,1.806050279250715e-05,"[""""]",0,0,0.1018587420343717,0,0,0.1852669293014937,0,0.0004256930496529,0.0027846469080308,0.0721338547445605,0,0,0,0.0,0,4.383583655104664e-05,0.4073664,document_download,0.0209110708550789,0,0,0,0,0.0,0,pass,none,temperror,1,SSL,0,0,0,0,0,0.3330136715091883,valid,0.0353665020010262,1.398156092909017e-06,0,1,0
D7791,0,0.0002569652924978,0,3.2930612255504395e-11,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0322813920163907,0,0,0.1358078521943462,0,0.7456416840796911,0.0427981640003219,0.0664850482414244,0,0,0,0.0,0,6.458871168953296e-05,0.3807127,none,0.0943969728212941,0,0,0,0,0.0,0,softfail,policy,fail,1,TLS 1.3,0,0,0,0,0,0.5271429086837733,valid,4.085004781544286e-06,0.1293080007230578,0,1,0
D7792,0,1.1130798811920248e-05,0,0.0027280013669499,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,1.1605352107366772e-12,0,0,0.0074802910998377,0,0.0237601993803469,0.0086129596181109,0.1783426710515003,0,0,0,0.5,0,7.652879005959421e-09,0.5527457,sensitive_data_request,0.0001174048654053,0,0,0,0,0.0,0,pass,neutral,none,1,TLS 1.3,0,0,0,0,0,0.0289787674677755,valid,7.731615105970949e-06,0.3403151672698708,0,1,0
D7793,0,7.848388809920935e-15,0,0.1453850899015816,0,0,0,0.97162912911057,0,0,0,0,0,0.4708023975648869,1.4240538876815524e-05,0,0,0,0,0.6250326765199264,0,1,4,1.1032260896948101e-15,"[""""]",0,0,2.4465190966724745e-07,0,1,0.0560788233503811,0,0.9351501408274988,0.1900662503343027,0.2624642951466788,0,0,0,1.0,0,0.8372596318371195,0.4316753,meeting_request,0.2867408897603293,0,0,0,0,0.0,0,pass,fail,none,1,TLS 1.3,0,0,0,0,0,1.0231255553293979e-10,valid,0.2222374105980906,0.0001488654287137,0,1,0
D7794,0,1.150575980389836e-05,0,0.64965290839921,0,0,0,0.5477770736777735,0,0,0,0,0,0.0711364569536585,7.77126968680969e-05,0,0,0,0,0.7828479232808913,1,0,6,5.726580489750154e-37,"[""""]",0,0,1.2894517574789462e-10,0,0,0.0762672596743884,0,0.0007005631985157,0.5935043037101976,8.65784218895501e-22,0,0,0,1.0,0,4.7549299210930096e-05,0.3457766,none,0.0431014747119148,0,0,0,0,0.0,0,pass,pass,fail,1,TLS 1.3,0,0,0,0,0,0.0350009511454025,valid,0.026005974188463,0.0007120893705169,0,1,0
D7795,0,0.0914740106164716,0,1.0853473231139984e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0009829926832869,0,0,0.0550995539746386,0,0.2245275910595829,0.0003511834685645,5.614314321641078e-06,0,0,0,1.0,0,5.069984656351521e-06,0.8041823,none,0.0488160891398336,0,0,0,0,0.0,0,pass,policy,pass,1,TLS 1.2,1,0,0,0,0,0.0036793016771646,mismatch,0.1189993508653788,0.0243630034831285,0,1,0
D7796,1,0.0005481398397549,0,0.0149970327382419,0,0,0,0.3125127139115246,0,0,0,0,0,0.0001345347437771,0.0262763895478734,0,0,0,0,0.5418594127543462,0,0,5,1.1372020496494024e-86,"[""""]",0,0,0.2861430978000741,0,0,0.1341952799074968,0,4.80740265967836e-05,0.0598913028338028,0.0999589234385804,0,7,0,1.0,0,0.0005923557316646,0.664866,legal_threat,6.468611438968584e-05,0,0,0,0,0.0,0,pass,neutral,none,1,TLS 1.2,2,0,0,0,0,4.650256495372704e-07,valid,0.0306028780985973,9.276789574558765e-09,0,1,0
D7797,0,0.0463674687649839,0,0.0024389519952072,0,0,0,1.3326150544262352e-08,0,0,0,0,0,0.0178108988519284,0.5486250829493711,0,0,0,0,0.9377852893307288,0,0,4,3.7430075204202905e-77,"[""""]",0,0,4.563108646263859e-09,0,0,0.0103644642857906,0,0.2872887380079651,0.0067653964570327,0.7552766040587039,0,0,0,0.0,0,0.0212434996139457,0.4579459,link_click,6.422371782116448e-08,0,0,0,0,0.0,0,pass,neutral,fail,1,TLS 1.3,1,0,0,0,0,0.0273160495606886,valid,0.0006369272437261,6.837038646788511e-07,0,1,0
D7798,0,0.0749178504155266,0,0.2231383568971916,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,1.5078036505884628e-05,0,0,7.09792630700683e-05,0,0.1298925135805783,0.0062159009301717,0.257319124386641,0,0,0,0.5,0,2.082939037809012e-07,0.399116,bank_detail_update,0.0209856548140944,0,0,0,0,0.0,0,fail,fail,none,1,TLS 1.2,0,0,0,0,0,0.0286905903999675,valid,0.8017375856898059,0.5520316096561801,0,1,0
D7799,0,0.0195580801687526,0,1.5327361070689965e-07,0,0,1,0.0614039852344162,0,0,0,3,0,0.0017175417877027,0.327750218961796,0,0,0,0,0.4284035638832545,0,0,4,1.7506641479251364e-97,"[""""]",0,0,0.2813813239052644,0,0,1.455781034766599e-21,0,0.5587906994145204,6.108041254509466e-05,0.0153719759109278,0,0,0,1.0,0,4.2796548970329046e-10,0.3101952,vpn_or_mfa_reset,4.585104523130359e-05,0,0,0,0,0.0,0,fail,none,fail,1,TLS 1.3,1,0,0,0,0,1.1891564640402835e-10,valid,7.728080187163938e-10,5.5311835795895764e-15,0,1,0
D7800,0,1.2496758870806964e-06,0,0.1267981242154241,0,0,0,0.2450018114818734,0,0,0,0,0,0.0016614932420243,0.1701020989546158,0,1,1,0,0.459008373822414,0,2,7,1.0792562384792436e-27,"[""""]",0,0,1.446228206222019e-09,0,0,6.065442831644192e-09,0,0.5813866241305883,0.4565502096745257,0.0063072508667211,0,0,0,0.0,0,0.1062983445107793,0.735699,wire_transfer,0.0284733644980857,0,0,0,0,0.0,0,fail,pass,none,1,TLS 1.3,1,0,0,0,0,0.4705385074247684,valid,6.336614835840574e-05,0.0917924094494257,0,1,0
D7801,0,2.540397525322559e-07,0,2.5438789347393933e-08,0,0,0,0.0003251433831545,0,0,0,0,0,0.1620445755718426,1.561616683409372e-06,0,0,0,0,0.4115456560393747,0,0,4,8.575683534080578e-97,"[""""]",0,0,0.0191329236152484,0,0,3.101084176541212e-40,0,0.0006888472579843,9.112473373878092e-07,0.1602140285034324,0,0,0,1.0,0,0.0008445636639865,0.4967172,document_download,0.5919455831500544,0,0,0,0,0.0,0,pass,none,fail,1,TLS 1.0,1,0,0,0,0,0.0005117866005005,valid,0.1434231596351224,0.0538159066900221,0,1,0
D7802,0,0.1714519555000741,0,0.865740924666382,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,3.172864300700121e-08,0,0,0.0005270067952536,0,0.0167701005235063,0.0018401486508472,4.309932648943053e-09,0,0,0,1.0,0,4.370792503495487e-06,0.0302298,none,2.4064165962434032e-11,0,0,0,0,0.0,0,pass,temperror,temperror,1,TLS 1.3,1,0,0,0,0,0.0017008922252334,valid,0.042496933619836,3.1127139988154293e-13,0,1,0
D7803,0,2.5772427371665483e-06,0,2.9112185000267326e-11,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.000210821945844,0,0,0.4408616201446916,0,0.0080038976123801,0.9582487483296874,0.9940608859673734,0,0,0,1.0,0,0.0068948413199925,0.0792796,sensitive_data_request,2.158013644039043e-07,0,0,0,0,0.0,0,pass,fail,pass,1,TLS 1.0,2,0,0,0,0,0.0020453818355862,valid,2.7894363448279324e-08,0.0158770896693583,0,1,0
D7804,0,0.0484893250213387,0,0.0067229956716105,0,0,0,0.0060375572026168,0,0,0,0,0,0.0012935857271531,0.1849330860833481,0,0,0,0,0.7998521977611709,0,0,6,20.365424754026748,"[""""]",0,0,0.0034155702241848,0,0,9.514340645379909e-09,0,0.5007260712304705,0.0013386827019745,0.0019629959707693,1,0,0,0.0,0,3.370306451698057e-05,0.7451498,meeting_request,0.0028687138137276,0,0,0,0,0.0,0,pass,none,none,1,TLS 1.0,0,0,0,0,0,1.9389891035791684e-10,valid,0.0176362986530317,0.1371087951990169,0,1,0
D7805,0,0.0024082136395584,0,0.0218598488354038,0,0,0,0.0136519910211651,0,0,0,0,0,0.0003200134085574,0.2338257540512939,0,0,0,0,0.447899205218598,0,1,4,0.0203602979937075,"[""""]",0,0,5.480530460427224e-09,0,0,0.0009453207380956,0,0.0348372138076439,0.0002653100677129,5.199311146238114e-07,0,0,0,0.5,0,1.0104184619114109e-06,0.1709521,none,6.662516844226119e-05,0,0,0,0,0.0,0,softfail,fail,none,1,TLS 1.2,0,0,0,0,0,0.8475823081485444,mismatch,4.9708389300799394e-05,1.2282649955004402e-11,0,1,0
