,Data ,sender_known_malicios,sender_domain_reputation_score,sender_spoof_detected,sender_temp_email_likelihood,dmarc_enforced,packer_detected,any_file_hash_malicious,max_metadata_suspicious_score,malicious_attachment_Count,has_executable_attachment,unscannable_attachment_present,total_yara_match_count,total_ioc_count,max_behavioral_sandbox_score,max_amsi_suspicion_score,any_macro_enabled_document,any_vbscript_javascript_detected,any_active_x_objects_detected,any_network_call_on_open,max_exfiltration_behavior_score,any_exploit_pattern_detected,total_embedded_file_count,max_suspicious_string_entropy_score,max_sandbox_execution_time,unique_parent_process_names,return_path_mismatch_with_from,return_path_known_malicious,return_path_reputation_score,reply_path_known_malicious,reply_path_diff_from_sender,reply_path_reputation_Score,smtp_ip_known_malicious,smtp_ip_geo,smtp_ip_asn,smtp_ip_reputation_score,domain_known_malicious,url_Count,dna_morphing_detected,domain_tech_stack_match_score,is_high_risk_role_targeted,sender_name_similarity_to_vip,urgency_keywords_present,request_type,content_spam_score,user_marked_as_spam_before,bulk_message_indicator,unsubscribe_link_present,marketing-keywords_detected,html_text_ratio,image_only_email,spf_result,dkim_result,dmarc_result,reverse_dns_valid,tls_version,total_links_detected,url_shortener_detected,url_redirect_chain_length,final_url_known_malicious,url_decoded_spoof_detected,url_reputation_score,ssl_validity_status,site_visual_similarity_to_known_brand,url_rendering_behavior_score,link_rewritten_through_redirector,token_validation_success,total_components_detected_malicious
53,D54,0,0.6702564751129455,0,0.085048604999192,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0905346043344741,0,0,0.0101422037245333,0,0.1222087025865796,0.0017674522525485,0.0130027192075678,0,0,0,1.0,0,0.0002537765983166,0.9179083,gift_card_request,0.000311243081113,0,0,0,0,0.0,0,pass,pass,none,1,TLS 1.3,1,0,0,0,0,0.2228229773129406,expired,0.0228166974863563,0.0006329717438041,0,1,0
204,D205,0,1.4727446120929443e-09,0,0.0006639214987575,0,0,0,0.2044586825720863,0,0,0,0,0,3.954129624318624e-08,0.0001493656321219,0,0,0,0,0.7692702648213682,0,0,7,3.91946976831641e-16,"[""""]",0,0,0.0168847388501821,0,1,2.943685095108257e-07,0,0.0623995455133157,0.0032103483428097,0.0388962977688318,0,0,0,0.5,0,0.0018887079427861,0.6442831,document_download,4.2478031301939576e-08,0,0,0,0,0.0,0,softfail,fail,pass,1,TLS 1.1,0,0,0,0,0,4.704629787823404e-12,valid,0.3059355358579095,0.7658462766315313,0,1,2
217,D218,0,0.0115067446843515,0,0.0511782538141229,0,0,0,0.0304326830975714,0,0,0,0,0,3.3048252794319824e-08,0.5140167753271264,0,0,0,0,0.8168685913921576,0,1,4,1.0455319266633498e-63,"[""""]",0,0,7.815359597162138e-08,0,0,0.1272868490913314,0,0.2903461422342214,7.625922489256518e-11,0.0180595315670611,0,0,0,1.0,0,3.69944117678555e-14,0.1316183,none,4.6016031465314544e-14,0,0,0,0,0.0,0,pass,fail,pass,1,TLS 1.2,3,0,1,0,0,5.3142765220121366e-11,valid,0.7141234855303966,1.176611477446045e-05,0,1,0
569,D570,0,4.684043156434497e-07,0,0.2586446944508871,0,0,0,0.0143209977888501,0,0,0,0,0,0.6171013685607524,4.526763428973246e-05,0,0,0,0,0.1533143292624744,0,0,4,5.4354033141137585e-56,"[""""]",0,0,1.1573303387157748e-05,0,0,0.0048202080496597,0,0.0476128591380785,1.2572437706493349e-05,0.1425135125059743,0,0,0,1.0,0,0.0004573477710184,0.3764074,none,0.001287472230298,0,0,0,0,0.0,0,pass,neutral,pass,1,TLS 1.1,0,0,0,0,0,0.0180201259815553,valid,0.0521427232321714,0.0321108876644739,0,1,3
653,D654,0,0.1163112470151867,0,3.057844917984257e-08,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.6524962682670018,0,0,2.456407377321476e-12,0,0.0345284859181993,0.1935812912875389,0.1733904704442726,0,0,0,1.0,0,0.049898076439712,0.1314431,none,0.0020270465939356,0,0,0,0,0.0,0,fail,pass,pass,1,TLS 1.1,3,0,0,0,0,0.0005215414710665,valid,0.0007706273943183,2.8668383903513604e-05,0,1,5
712,D713,0,0.7223143215052855,0,8.859231812354172e-12,0,0,0,0.0001537148757065,0,0,0,0,0,0.012220829577947,4.963828226809404e-08,0,0,0,0,0.3054531009019549,0,0,4,5.043616245647278e-36,"[""""]",0,0,0.2263453359994603,0,0,0.0321030505165274,0,0.0030545058761337,0.4506098205572268,0.0068548376702369,0,0,0,1.0,0,0.4465825076309991,0.7940992,wire_transfer,0.9478529699130024,0,0,0,0,0.0,0,pass,none,fail,1,TLS 1.2,0,0,0,0,0,1.5833983404079258e-10,valid,3.6541928696338905e-08,9.457128078945146e-06,0,1,0
759,D760,0,1.4410395259792774e-05,0,0.0303059943031359,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0055329105069215,0,0,0.0018881054633105,0,0.4035813603933616,0.0057684052234032,0.2338307337538787,0,0,0,1.0,0,0.9631989771901508,0.5742468,none,0.036688778096634,0,0,0,0,0.0,0,fail,pass,none,1,TLS 1.0,4,0,0,0,0,0.1504556917332397,expired,0.000357234879724,0.0554638496838009,0,1,2
837,D838,0,0.8004468677647467,0,0.0013325016434377,0,0,0,0.0107037880715365,0,0,0,0,0,1.5926880538131358e-11,1.732004027451495e-05,0,0,0,0,0.2982415992953437,0,0,4,1.0354561822731597e-44,"[""""]",1,0,2.724985488671745e-06,0,0,1.874778785695501e-07,0,0.0019835227933127,0.5200976760555215,0.0087163884685208,0,0,0,1.0,0,0.0005339760677816,0.9776737,meeting_request,2.661827835597277e-07,0,0,0,0,0.0,0,pass,fail,fail,1,TLS 1.2,1,0,0,0,0,0.2917080095462465,valid,0.0084014278667884,0.0001000052900426,0,1,0
839,D840,0,0.1604581438566033,0,3.815433568995014e-13,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,5.267441405740949e-05,0,0,0.0003159342590175,0,0.0006684887051729,8.516296061710157e-08,0.4172459348995815,0,0,0,1.0,0,0.0074762563567839,0.2001704,none,0.3142160781348294,0,0,0,0,0.0,0,pass,pass,pass,1,TLS 1.2,0,0,0,0,0,0.157756646774248,expired,0.2893301342528048,0.0206733505348087,0,1,0
1143,D1144,0,7.165523423928079e-11,0,2.6093078574034548e-09,0,0,0,0.0073421942907569,0,0,0,0,0,0.0882571451006994,3.2332077570757986e-11,0,0,0,0,0.961764018642494,0,0,4,2.253436584979539e-67,"[""""]",0,0,0.9925761689419624,0,0,0.0091730805080069,0,0.976556517178651,5.440442008127805e-05,0.040591086595948,0,0,0,1.0,0,0.048685118991724,0.9150134,vpn_or_mfa_reset,9.538277827943332e-05,0,0,0,0,0.0,0,pass,none,fail,1,TLS 1.2,0,0,0,0,0,0.3647167820390681,self signed,0.1088582735819288,1.0380942965117266e-05,0,1,1
